name,sort_order,reading
踊場縞鋼板,1,おどりばしまこうはん
蝶番,2,ちょうつがい
バッテリー,3,ばってりー
ヒーターパイプ,4,ひーたーぱいぷ
観音扉,5,かんのんとびら
内張り,6,うちばり
レギュレター,7,れぎゅれーたー
ラッチ,8,らっち
サッシュ,9,さっしゅ
アウターハンドル,10,あうたーはんどる
ガラスアウターカバー,11,がらすあうたーかばーー
サニーホース,12,さにーほーす
ボルト,13,ぼると
コボレーンシャフト,14,こぼれーんしゃふと
ウィングシート,15,うぃんぐしーと
ステー,16,すてー
リブ,17,りぶ
フラットバー,18,ふらっとばー
反射板ステー,19,はんしゃばんすてー
リベット,20,りべっと
マフラーカバー,21,まふらーかばーー
サイドガード,22,さいどがーど
パイプ,23,ぱいぷ
ウィングキャッチ,24,うぃんぐきゃっち
アンダーミラー,25,あんだーみらー
サイドガードステー,26,さいどがーどすてー
サイドガード,27,さいどがーど
タイコマフラー,28,たいこまふらー
イコライザーロックピン,29,いこらいざーーろっくぴん
ミラー,30,みらー
ドア,31,どあ
プレート,32,ぷれーと
ウェザーストリップゴム,33,うぇざすとりっぷごむ
バンパー,34,ばんぱー
セイコーラックアーム,35,せいこーらっくあむ
蝶番ピン,36,ちょうつがいぴん
キャッチ,37,きゃっち
横根太,38,横根ふと
床板,39,ゆかいた
フェンダー,40,ふぇんだ
戸当たりゴム,41,とあたりごむ
ナンバーボルト,42,なんばぼると
フロントリッド,43,ふろんとりっど
ウィング,44,うぃんぐ
ステンウィングキャッチ,45,すてんうぃんぐきゃっち
マフラー,46,まふら
ジャバラパイプ,47,じゃばらぱいぷ
キャスターストッパー,48,きゃすだすとっぱー
キャッチシャフト,49,きゃっちしゃふと
木材,50,きざい
ボルト一式,51,ぼるといちしき
踊場枠,52,おどりばわく
燃料タンク,53,ねんりょうたんく
ドア蝶番ボルト,54,どあちょうつがいぼると
シート,55,しーと
エアーホース,56,えあーほーす
アウトリガー,57,あうとりがー
アウトリガーブラケット,58,あうとりがーぶらけっと
アウトリガー 取付部,59,あうとりがーー とりつけぶ
フレーム,60,ふれーむ
マーカーランプステー,61,まーかーらんぷすてー
バンド,62,ばんど
ブラケット,63,ぶらけっと
アルミ縞板,64,あるみしまいた
フェンダーブラケット,65,ふぇんだぶらけっと
テールランプ,66,てーるらんぷ
タイヤハウスカバー,67,たいやはうすかばー
アッパーステップ,68,あっぱすてっぷ
コンデンサーステー,69,こんでんざすてー
インナーパネル,70,いんなぱねる
サイドガードマフラーカバー,71,さいどがーどまふらかばー
スケット,72,すけっと
テールランプカバー,73,てーるらんぷかばー
セイコーラック,74,せいこーらっく
サイドガードマフラーパイプガード,75,さいどがーどまふらぱいぷがーど
ドアキャッチ,76,どあきゃっち
フロントバンパー,77,ふろんとばんぱー
カバー,78,かばーー
ヘッドライト,79,へっどらいと
コーナーパネル,80,こーなーぱねる
ファーストステップカバー,81,ふぁ゜すとすてっぷかばー
コーナーバンパー,82,こーなーばんぱー
バンパーフィニッシャー,83,ばんぱーふぃにっしゃ
フォグランプ,84,ふぉぐらんぷ
骨ボルト,85,ほねぼると
アンダーカバー,86,あんだかばー
ランディングパット,87,らんでぃんぐぱっと
ドライブシャフト,88,どらいぶしゃふと
ドライバーシートassy,89,どらいばーしーとasy
リクライニングシート,90,りくらいにんぐじと
シートブラケット,91,じとぶらけっと
幌骨差込口,92,ほろほねさしこみくち
ドアーキャッチ,93,どあきゃっち
煽りドアーキャッチ,94,あおりどあーきゃっち
反射板,95,はんしゃばん
ドアスケット,96,どあすけっと
ドアースイッチ,97,どあすいっち
ガラス,98,がらす
キャブキャッチレバーブラケット,99,きゃぶきゃっちればぶらけっと
アッパーフェンダー,100,あっぱふぇんだ
パネル,101,ぱねる
ハンドルグリップ,102,はんどるぐりっぷ
ステップ,103,すてっぷ
バンパー,104,ばんぱー
ハンドルシャフト,105,はんどるしゃふと
板ステンレス,106,いたすてんれす
板ブッシュゴム,107,いたぶっしゅごむ
泥除けゴム,108,どろじょけごむ
ミリボルト,109,みりぼると
コンテナロックレバー,110,こんてなろっくれば
ステン泥除け枠,111,すてんどろじょけわく
UDマーク,112,UDまーく
テールパイプ,113,てーるぱいぷ
サブフレームブラケット,114,さぶふれむぶらけっと
集合管,115,集合かん
踊場,116,おどりば
ブッシュゴム,117,ぶっしゅごむ
シャフト,118,しゃふと
バンパーカバー,119,ばんぱーかばー
ウイングスイッチ,120,ういんぐすいっち
バンパーステーボルト,121,ばんぱーすてーぼると
バックランプ,122,ばっくらんぷ
柱パイプ,123,はしらぱいぷ
テープ,124,てーぷ
フロントバンパーグリル,125,ふろんとばんぱーぐりる
フェンダーブラケット,126,ふぇんだぶらけっと
ゲート,127,げと
スタッドボルト,128,すたっどぼると
フロントグリル,129,ふろんとぐりる
フロントスプリングバンドカット,130,ふろんとすぷりんぐばんどかっと
タップボルト,131,たっぷぼると
ボード,132,ぼーど
メッキミラー,133,めっきみら
ドアパネル,134,どあぱねる
ステップカバー,135,すてっぷかばー
メッキコーナーバンパー,136,めっきこーなーばんぱー
ブレーキペダル,137,ぶれきぺだる
ピラー,138,ぴら
スカッフプレート,139,すかっふぷれと
フロアーマット,140,ふろあまっと
ドライバーシート,141,どらいばじと
サイド内張,142,さいどうちばり
グリップ,143,ぐりっぷ
リーンホースメントパネル,144,りんほーすめんとぱねる
キャブ,145,きゃぶ
梯子,146,梯子
ピーラーヒンジ,147,ぴらひんじ
ドアバイザー,148,どあばいざ
ステンテールランプブラケット,149,すてんてーるらんぷぶらけっと
シャフトカバー,150,しゃふとかばー
モーター,151,もーたー
枠骨,152,わくほね
ゲートヒンジ,153,げとひんじ
踊場フレーム,154,おどりばふれーむ
マーカーランプ,155,まーかーらんぷ
エキゾーストパイプ,156,えきぞすとぱいぷ
ボデーリアカーテン,157,ぼでりあがてん
ガゼットボルト,158,がぜっとぼると
ナンバーボルト,159,なんばぼると
ステップバンパーボルト,160,すてっぷばんぱーぼると
シートギヤハンドル,161,じとぎやはんどる
マットガード,162,まっとがーど
ジャバラパイプガード,163,じゃばらぱいぷがーど
コーナーカバー,164,こーなーかばー
カプラーガイドブラケット,165,かぷらがいどぶらけっと
フェンダーブラケット,166,ふぇんだぶらけっと
フェンダー,167,ふぇんだ
アーチゴム,168,あちごむ
消火器,169,消火き
フィニッシャーステー,170,ふぃにっしゃすてー
コボレーン枠,171,こぼれーんわく
ジャバラパイプステー,172,じゃばらぱいぷすてー
スケットアームピン,173,すけっとあむぴん
ツイストロックリターンスプリング,174,ついすとろっくりだんすぷりんぐ
工具箱押さえ,175,こうぐ箱押さえ
踊場脱着,176,おどりばだっちゃく
サイドガードステー,177,さいどがーどすてー
縞鋼板,178,しまこうはん
パイプメートル,179,ぱいぷめとる
カーテンレール,180,がてんれる
アングル,181,あんぐる
タカラポストキャッチ,182,たからぽすときゃっち
スケットスプリング,183,すけっとすぷりんぐ
